MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature,label
24.99,8.91,8.34,24.77,13.79,3.89,5.86,1.23,33.17,15.75,62.7,35.8,excellent
25.23,9.05,8.44,24.89,13.74,3.89,5.86,1.26,33.36,15.95,63.1,35.6,excellent
25.35,9.16,8.54,25.01,13.85,3.95,5.86,1.27,33.55,16.08,63.5,35.6,excellent
25.23,9.19,8.61,25.25,13.97,3.95,5.86,1.24,33.55,16.15,63.7,35.5,excellent
25.72,9.3,8.68,25.5,14.03,4.0,5.95,1.32,33.55,16.35,64.0,35.5,excellent
25.6,9.37,8.68,25.25,13.91,4.02,5.98,1.32,33.36,16.63,64.3,35.5,excellent
25.6,9.34,8.74,25.75,13.97,4.04,6.02,1.34,33.74,16.7,64.5,35.5,excellent
25.6,9.41,8.71,25.75,13.85,4.04,6.02,1.32,33.93,16.91,64.0,34.8,excellent
26.1,9.67,8.95,25.88,14.09,4.23,6.24,1.47,34.31,17.34,64.6,35.6,excellent
25.47,9.23,8.51,25.13,13.62,3.95,5.88,1.22,33.17,16.77,64.6,35.6,excellent
25.35,9.12,8.51,25.13,13.68,3.93,5.91,1.23,32.63,16.7,64.7,35.6,excellent
25.23,9.16,8.51,25.13,13.68,3.95,5.88,1.23,32.45,16.63,64.6,35.7,excellent
25.11,9.12,8.44,25.01,13.68,3.91,5.86,1.18,32.99,15.62,64.6,35.8,excellent
25.47,11.49,8.44,25.13,13.68,3.91,5.86,1.18,32.45,16.63,64.7,35.8,excellent
25.35,9.19,8.44,25.13,13.68,3.95,5.88,1.21,32.45,16.56,64.6,35.6,excellent
25.11,9.16,8.44,24.89,13.68,3.91,5.84,1.2,32.27,16.35,64.6,35.9,excellent
25.47,9.16,8.44,25.01,13.62,3.98,5.86,1.2,32.09,16.42,64.7,35.9,excellent
25.23,9.23,8.41,25.25,13.68,3.93,5.88,1.21,32.27,16.42,64.8,35.9,excellent
25.23,9.12,8.41,25.01,13.62,3.87,5.88,1.21,32.09,16.42,65.3,36.0,excellent
25.11,9.19,8.44,24.89,13.68,4.0,5.84,1.18,32.27,16.49,65.4,36.0,excellent
25.47,9.23,8.41,25.13,13.68,4.0,5.86,1.21,31.92,16.77,65.4,36.0,excellent
25.47,9.23,8.41,24.89,13.62,4.0,5.88,1.18,32.27,16.77,64.8,35.8,excellent
25.47,9.19,8.41,24.77,13.45,3.98,5.88,1.22,32.09,16.63,65.3,36.1,excellent
25.23,9.3,8.41,25.01,13.57,4.04,5.88,1.18,32.09,16.84,65.4,36.1,excellent
25.23,9.23,8.41,25.01,13.51,4.06,5.88,1.22,31.92,16.84,65.6,36.1,excellent
25.11,9.16,8.41,25.01,13.45,4.06,5.91,1.23,31.92,16.63,65.6,36.3,excellent
25.35,9.19,8.37,24.65,13.29,4.02,5.91,1.22,31.92,16.63,65.7,36.1,excellent
25.11,9.19,8.37,24.65,13.29,4.08,5.91,1.23,31.92,16.7,65.8,36.2,excellent
25.47,9.19,8.37,24.77,13.29,3.98,5.93,1.23,31.74,16.7,66.4,37.0,excellent
