MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
48.6,23.46,12.57,22.44,40.6,26.9,accept
48.94,23.57,12.5,20.86,41.0,27.0,accept
47.93,22.5,12.51,21.54,40.6,27.0,accept
50.69,26.58,12.29,15.44,43.5,27.2,accept
48.26,23.03,12.65,20.34,41.5,27.0,accept
48.94,24.13,12.6,18.05,42.1,27.1,accept
50.33,24.95,12.51,16.62,42.8,27.2,accept
48.6,23.79,12.63,17.86,42.1,27.1,accept
47.61,23.46,11.06,10.77,44.3,27.0,accept
49.28,24.02,12.4,21.93,40.7,27.0,accept
49.28,24.95,12.86,19.08,42.1,27.1,accept
47.28,22.92,10.96,10.41,44.4,27.0,accept
49.63,24.13,12.51,22.71,40.2,26.9,accept
49.63,24.36,12.57,22.98,40.3,26.9,accept
49.63,24.25,12.46,22.17,40.6,26.9,accept
50.33,25.19,12.57,16.96,42.8,27.2,accept
49.28,23.46,12.49,22.57,40.2,26.9,accept
49.28,23.79,12.46,22.64,40.2,26.9,accept
49.63,24.25,12.51,22.93,40.3,26.9,accept
46.96,21.5,10.97,9.9,44.4,26.9,accept
48.6,23.14,12.46,20.57,41.0,27.0,accept
50.33,25.19,12.58,17.05,42.8,27.2,accept
49.28,25.19,12.7,16.21,43.4,27.2,accept
48.94,23.79,12.65,22.57,40.6,26.9,accept
45.72,21.31,10.96,9.69,44.4,26.9,accept
48.94,24.36,12.63,18.68,42.1,27.1,accept
48.94,23.57,12.51,20.91,41.0,27.0,accept
45.12,21.11,10.91,9.59,44.3,26.9,accept
50.33,24.83,12.51,16.54,42.8,27.2,accept
48.6,23.57,12.74,17.86,42.2,27.1,accept
50.33,25.44,11.88,14.22,43.7,27.2,accept
49.63,24.13,12.51,22.78,40.2,26.9,accept
48.94,23.46,12.46,22.57,40.2,26.9,accept
49.28,23.68,12.35,21.79,40.6,27.0,accept
49.98,24.83,12.74,16.45,43.0,27.2,accept
49.28,24.83,12.74,18.94,42.1,27.1,accept
49.63,24.25,12.51,22.84,40.2,26.9,accept
44.82,20.37,10.77,9.34,44.1,26.9,accept
48.26,23.46,12.78,20.69,41.2,27.0,accept
50.33,26.07,12.46,15.81,43.5,27.2,accept
50.33,24.6,12.51,16.37,42.9,27.2,accept
48.6,23.68,12.76,21.7,41.1,27.0,accept
48.6,23.46,12.51,19.35,41.5,27.1,accept
48.94,24.02,12.57,20.09,41.6,27.1,accept
48.26,23.35,12.8,20.69,41.2,27.0,accept
48.6,23.79,11.6,12.28,44.1,27.0,accept
48.94,23.68,12.57,22.55,40.5,26.9,accept
50.33,25.19,12.63,17.22,42.8,27.2,accept
49.28,24.25,12.75,17.68,42.6,27.2,accept
50.33,26.58,12.68,16.13,43.5,27.2,accept
49.28,23.79,12.36,21.8,40.6,27.0,accept
50.33,24.83,12.74,16.46,43.0,27.2,accept
47.93,24.48,11.3,11.44,44.2,27.0,accept
48.94,23.91,12.57,20.0,41.6,27.1,accept
49.63,23.91,12.46,22.69,40.2,26.9,accept
50.33,24.95,12.51,16.54,42.8,27.2,accept
48.26,22.71,12.63,21.66,40.7,27.0,accept
48.94,24.6,12.87,17.91,42.5,27.2,accept
48.94,24.13,12.6,18.15,42.1,27.1,accept
49.28,24.36,12.8,17.68,42.7,27.1,accept
46.33,21.5,11.01,9.8,44.4,26.9,accept
48.26,23.46,12.68,17.85,42.2,27.2,accept
50.33,25.56,12.74,17.49,42.7,27.1,accept
50.33,25.19,12.62,17.12,42.8,27.2,accept
48.94,23.68,12.51,21.0,41.1,27.0,accept
49.28,24.36,12.63,18.44,42.1,27.1,accept
47.93,22.61,12.57,20.46,41.0,27.0,accept
48.94,23.68,12.51,21.19,41.1,27.0,accept
47.61,23.57,11.06,10.87,44.3,27.0,accept
48.6,23.57,12.63,17.85,42.1,27.1,accept
48.94,23.46,12.5,20.79,41.0,27.0,accept
49.28,24.6,12.74,20.44,41.6,27.1,accept
50.69,25.94,12.07,14.98,43.6,27.2,accept
48.6,23.91,12.8,21.74,41.1,27.0,accept
48.26,23.24,12.74,21.79,40.8,27.0,accept
50.33,25.81,12.8,17.59,42.8,27.2,accept
49.63,24.13,12.5,22.82,40.2,26.9,accept
49.98,24.48,11.81,13.69,43.9,27.2,accept
48.94,24.02,12.68,22.71,40.4,26.9,accept
48.94,24.02,12.59,18.05,42.1,27.1,accept
46.96,21.6,10.96,9.92,44.4,26.9,accept
50.33,25.69,12.74,17.55,42.8,27.2,accept
48.94,24.13,12.6,18.15,42.1,27.1,accept
48.26,22.92,12.74,20.63,41.2,27.1,accept
47.93,22.82,12.67,19.17,41.6,27.1,accept
