MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
55.78,27.81,10.91,30.76,37.7,26.6,accept
48.6,19.75,7.72,26.97,39.6,26.7,accept
55.78,27.95,10.99,30.9,37.8,26.6,accept
54.53,27.39,10.54,30.4,38.1,26.6,accept
43.11,17.58,7.16,25.41,39.8,26.8,accept
48.26,21.69,8.29,27.63,39.3,26.7,accept
48.26,20.55,7.97,27.09,39.4,26.7,accept
33.77,10.62,5.5,21.33,40.8,26.8,accept
55.78,27.67,10.82,30.69,37.7,26.6,accept
55.78,27.81,10.91,30.8,37.8,26.6,accept
55.35,26.58,10.07,30.24,38.3,26.6,accept
40.48,15.14,6.54,23.97,40.0,26.8,accept
34.73,11.22,5.65,21.63,40.6,26.8,accept
36.35,12.33,5.93,22.98,40.6,26.8,accept
48.94,22.71,8.5,28.15,39.3,26.7,accept
51.42,23.24,8.7,28.63,39.4,26.7,accept
53.72,24.36,9.11,29.16,38.9,26.6,accept
55.78,28.37,11.15,31.05,37.8,26.6,accept
48.26,20.19,7.84,26.94,39.5,26.7,accept
54.12,28.37,10.77,31.08,38.2,26.6,accept
57.07,27.95,11.25,31.35,37.5,26.5,accept
52.94,24.36,9.3,28.86,38.7,26.7,accept
42.29,16.79,6.96,24.9,39.8,26.7,accept
53.33,26.58,9.98,30.11,38.4,26.7,accept
55.78,28.23,11.1,30.94,37.8,26.6,accept
52.94,25.69,9.77,29.45,38.7,26.7,accept
57.52,28.96,11.39,31.77,37.5,26.5,accept
50.69,23.14,8.67,28.61,39.4,26.7,accept
52.17,26.58,10.02,30.04,38.7,26.7,accept
54.94,28.09,10.68,30.67,38.2,26.6,accept
52.94,25.32,9.61,29.2,38.6,26.6,accept
48.26,21.31,8.19,27.45,39.3,26.7,accept
54.94,28.37,11.26,31.42,37.8,26.6,accept
48.26,21.6,8.28,27.62,39.3,26.7,accept
34.53,11.09,5.61,21.54,40.7,26.8,accept
54.53,26.98,10.41,30.24,38.1,26.6,accept
55.78,28.37,11.15,31.11,37.8,26.6,accept
39.99,14.77,6.46,23.71,40.0,26.8,accept
48.26,21.21,8.16,27.4,39.3,26.7,accept
52.94,25.32,9.65,29.22,38.7,26.7,accept
31.97,9.56,5.21,21.54,41.6,26.8,accept
44.53,19.67,7.6,26.83,39.7,26.7,accept
48.26,19.93,7.79,26.9,39.5,26.7,accept
40.73,15.39,6.61,24.05,40.0,26.8,accept
34.15,10.88,5.57,21.43,40.7,26.8,accept
51.79,22.71,8.67,28.4,39.4,26.7,accept
55.78,28.09,11.06,30.91,37.8,26.6,accept
38.56,13.63,6.21,23.04,40.2,26.9,accept
33.4,10.38,5.44,21.28,40.9,26.8,accept
48.26,20.93,8.06,27.26,39.3,26.7,accept
38.33,13.46,6.18,22.96,40.2,26.8,accept
35.94,12.05,5.86,22.98,40.7,26.8,accept
35.53,11.63,5.74,21.81,40.6,26.9,accept
43.39,18.04,7.27,25.71,39.7,26.7,accept
36.57,12.33,5.9,22.23,40.4,26.9,accept
35.12,11.53,5.72,21.78,40.6,26.8,accept
42.83,17.29,7.07,25.21,39.9,26.8,accept
47.93,20.37,7.9,27.07,39.4,26.7,accept
51.05,23.79,8.89,28.91,39.2,26.7,accept
38.79,13.74,6.24,23.12,40.1,26.8,accept
36.14,12.19,5.88,22.98,40.6,26.8,accept
27.36,9.6,5.21,21.72,41.0,26.8,accept
52.94,26.45,9.96,30.01,38.4,26.6,accept
38.79,13.79,6.26,23.11,40.1,26.8,accept
43.67,18.35,7.36,25.93,39.7,26.7,accept
52.94,24.6,9.34,28.97,38.7,26.6,accept
48.26,21.79,8.36,27.75,39.3,26.7,accept
48.26,20.55,7.97,27.09,39.4,26.7,accept
47.93,20.93,8.1,27.27,39.3,26.7,accept
53.72,24.25,9.11,29.04,38.9,26.7,accept
39.99,14.71,6.43,23.68,40.0,26.8,accept
54.53,26.85,10.34,30.12,38.1,26.6,accept
52.17,24.02,9.0,28.99,39.0,26.7,accept
34.53,11.09,5.61,21.53,40.7,26.8,accept
54.53,26.72,10.03,30.25,38.4,26.7,accept
48.6,22.61,8.55,28.36,39.4,26.7,accept
48.26,20.28,7.87,27.02,39.4,26.7,accept
55.78,27.95,11.01,30.9,37.8,26.6,accept
35.12,11.49,5.7,21.76,40.6,26.8,accept
54.53,26.19,10.07,29.86,38.2,26.6,accept
35.53,11.67,5.77,21.9,40.6,26.9,accept
37.65,12.99,6.07,22.62,40.3,26.9,accept
52.17,26.32,9.98,30.03,38.7,26.7,accept
56.2,27.39,10.73,30.68,37.8,26.6,accept
54.53,26.98,10.37,30.21,38.1,26.6,accept
57.97,28.81,11.4,31.72,37.5,26.5,accept
56.2,27.25,10.72,30.68,37.8,26.6,accept
52.94,25.19,9.57,29.18,38.7,26.7,accept
54.53,27.25,10.51,30.38,38.1,26.6,accept
32.67,9.75,5.27,21.17,41.3,26.8,accept
35.94,11.95,5.81,22.03,40.5,26.9,accept
54.53,28.37,10.78,30.98,38.2,26.6,accept
57.97,29.11,11.4,31.8,37.5,26.5,accept
40.99,15.51,6.64,24.13,40.0,26.8,accept
40.48,15.08,6.54,23.87,40.0,26.8,accept
33.03,9.52,5.23,21.4,41.5,26.8,accept
47.93,20.02,7.72,27.18,39.6,26.7,accept
55.78,28.09,11.01,30.9,37.8,26.6,accept
32.85,9.56,5.23,21.42,41.6,26.8,accept
54.53,26.32,10.11,29.87,38.1,26.6,accept
55.78,28.09,11.01,30.9,37.8,26.6,accept
52.94,25.56,9.74,29.4,38.7,26.7,accept
44.82,19.33,7.56,26.55,39.7,26.7,accept
48.26,21.6,8.26,27.61,39.3,26.7,accept
55.78,28.52,11.2,31.15,37.8,26.6,accept
43.67,19.16,7.56,26.73,39.7,26.7,accept
54.53,26.85,10.32,30.06,38.1,26.6,accept
44.82,19.49,7.59,26.86,39.7,26.7,accept
38.56,13.57,6.21,22.99,40.3,26.9,accept
54.53,26.98,10.41,30.24,38.1,26.6,accept
54.53,26.85,10.32,30.08,38.1,26.6,accept
37.88,13.25,6.12,22.83,40.3,26.9,accept
35.12,11.44,5.7,21.69,40.7,26.9,accept
27.92,9.52,5.19,21.65,41.2,26.8,accept
43.95,18.43,7.36,25.99,39.7,26.7,accept
53.33,23.68,9.03,28.79,38.8,26.7,accept
48.26,21.21,8.16,27.44,39.3,26.7,accept
37.43,12.78,6.02,22.55,40.4,26.9,accept
48.6,22.82,8.57,28.35,39.3,26.7,accept
43.39,17.73,7.18,25.51,39.8,26.8,accept
43.11,17.58,7.15,25.39,39.8,26.8,accept
42.29,16.79,6.96,24.9,39.9,26.8,accept
36.35,12.29,5.91,22.99,40.6,26.8,accept
38.1,13.36,6.14,22.84,40.2,26.8,accept
48.26,21.5,8.26,27.56,39.3,26.7,accept
33.03,10.14,5.37,21.19,41.1,26.8,accept
48.6,22.4,8.46,28.01,39.3,26.7,accept
52.17,25.56,9.86,29.79,38.5,26.6,accept
52.55,26.72,10.02,30.04,38.7,26.7,accept
54.53,26.85,10.28,30.06,38.1,26.6,accept
38.79,13.74,6.24,23.11,40.1,26.8,accept
34.34,11.0,5.59,21.53,40.7,26.8,accept
52.94,24.72,9.38,28.99,38.7,26.7,accept
50.69,23.14,8.67,28.6,39.4,26.7,accept
52.94,24.6,9.37,28.99,38.7,26.7,accept
42.56,16.86,6.97,24.98,39.9,26.8,accept
